PlayerName,AV
Brian Dawkins\DawkBr00,129
Donovan McNabb\McNaDo00,126
Reggie White\WhitRe00,125
Jason Peters\PeteJa21,107
Harold Carmichael\CarmHa00,102
Randall Cunningham\CunnRa00,102
Eric Allen\AlleEr00,101
Ron Jaworski\JawoRo00,101
Fletcher Cox\CoxxFl00,100
Randy Logan\LogaRa20,97
Tra Thomas\ThomTr00,97
Jerry Sisemore\SiseJe00,91
Troy Vincent\VincTr00,90
Jason Kelce\KelcJa00,88
Herm Edwards\EdwaHe20,86
Guy Morriss\MorrGu20,85
Jon Runyan\RunyJo20,85
Wes Hopkins\HopkWe00,83
Trent Cole\ColeTr20,82
Wilbert Montgomery\MontWi00,80
Bill Bergey\BergBi00,77
Stan Walters\WaltSt00,77
Brian Westbrook\WestBr00,77
Roynell Young\YounRo00,76
Frank LeMaster\LeMaFr00,75
Timmy Brown\BrowTi01,74
Clyde Simmons\SimmCl00,74
William Thomas\ThomWi00,74
Jeremiah Trotter\TrotJe00,73
Seth Joyner\JoynSe00,72
Brandon Graham\GrahBr99,68
Pete Retzlaff\RetzPe00,68
John Bunting\BuntJo20,65
Bobby Taylor\TaylBo00,64
Bill Bradley\BradBi00,63
David Alexander\AlexDa22,62
Bob Brown\BrowBo03,62
Lane Johnson\JohnLa01,62
LeSean McCoy\McCoLe01,62
DeSean Jackson\JackDe00,61
Carl Hairston\HairCa20,60
Todd Herremans\HerrTo20,60
Norm Snead\SneaNo00,60
Hugh Douglas\DougHu00,58
Wade Key\KeyxWa20,58
Nate Ramsey\RamsNa20,58
Andre Waters\WateAn20,58
Ron Baker\BakeRo20,57
Charlie Johnson\JohnCh03,57
Jerry Robinson\RobiJe02,57
Ken Clarke\ClarKe24,56
Maxie Baughan\BaugMa00,54
Hollis Thomas\ThomHo20,54
Mike Patterson\PattMi20,53
Jerome Brown\BrowJe00,52
Keith Byars\ByarKe00,52
Mike Quick\QuicMi00,52
Duce Staley\StalDu00,51
Byron Evans\EvanBy20,50
Ben Hawkins\HawkBe00,50
Dennis Harrison\HarrDe02,49
Carson Wentz\WentCa00,49
Zach Ertz\ErtzZa00,48
Malcolm Jenkins\JenkMa99,48
Dave Lloyd\LloyDa00,48
Jermane Mayberry\MaybJe00,48
Reggie Wilkes\WilkRe20,48
Irv Cross\CrosIr00,47
Jim Ringo\RingJi00,47
Jim Skaggs\SkagJi20,47
Sheldon Brown\BrowSh20,46
Al Nelson\NelsAl20,46
Corey Simon\SimoCo00,45
Tommy McDonald\McDoTo00,44
John Outlaw\OutlJo20,44
Mike Zordich\ZordMi20,44
Lito Sheppard\ShepLi99,43
Fred Barnett\BarnFr00,42
Joe Scarpati\ScarJo21,42
Don Burroughs\BurrDo20,41
Brent Celek\CeleBr00,41
Ron Heller\HellRo20,41
Quintin Mikell\MikeQu20,41
Michael Vick\VickMi00,41
Brenard Wilson\WilsBr20,41
Tom Woodeshick\WoodTo01,41
Andy Harmon\HarmAn20,40
Darwin Walker\WalkDa21,40
Antone Davis\DaviAn25,39
Jeremy Maclin\MaclJe00,39
Tom Sullivan\SullTo00,39
David Akers\akersdav01,38
Greg Brown\BrowGr20,38
Asante Samuel\SamuAs20,38
Charlie Smith\SmitCh00,38
Mychal Kendricks\KendMy00,37
Calvin Williams\WillCa00,36
Brandon Brooks\BrooBr00,35
Hank Fraley\FralHa20,35
Don Hultz\HultDo20,35
Jamaal Jackson\JackJa21,35
Sonny Jurgensen\JurgSo00,35
