PlayerName,YearFrom,YearTo,GamesPlayed,Position,After1960
Donovan McNabb\McNaDo00,1999,2009,148,QB,1
Ron Jaworski\JawoRo00,1977,1986,142,QB,1
Randall Cunningham\CunnRa00,1985,1995,122,QB,1
Carson Wentz\WentCa00,2016,2020,68,QB,1
Norm Snead\SneaNo00,1964,1970,85,QB,1
Tommy Thompson\ThomTo21,1941,1950,88,QB,0
Michael Vick\VickMi00,2009,2013,54,QB,1
Sonny Jurgensen\JurgSo00,1957,1963,83,QB,1
Nick Foles\FoleNi00,2012,2018,40,QB,1
Bobby Thomason\ThomBo02,1952,1957,68,QB,0
Norm Van Brocklin\VanBNo00,1958,1960,36,QB,1
Roman Gabriel\GabrRo00,1973,1977,53,QB,1
Adrian Burk\BurkAd00,1951,1956,70,P,0
Rodney Peete\PeetRo00,1995,1998,30,QB,1
Ty Detmer\DetmTy00,1996,1997,21,QB,1
King Hill\HillKi00,1961,1968,71,QB,1
Sam Bradford\BradSa00,2015,2015,14,QB,1
Roy Zimmerman\ZimmRo20,1943,1946,41,QB,0
Mark Sanchez\SancMa00,2014,2015,13,QB,1
Pete Liske\LiskPe00,1971,1972,28,QB,1
Mike Boryla\BoryMi00,1974,1976,22,QB,1
Davey O'Brien\OBriDa21,1939,1940,22,QB,0
Jim McMahon\McMaJi00,1990,1992,21,QB,1
Bobby Hoying\HoyiBo00,1996,1998,16,QB,1
Bubby Brister\BrisBu00,1993,1994,17,QB,1
A.J. Feeley\FeelA.00,2001,2007,12,QB,1
Kevin Kolb\KolbKe00,2007,2010,19,QB,1
Koy Detmer\DetmKo00,1998,2006,104,QB,1
John Reaves\ReavJo00,1972,1974,16,QB,1
Joe Pisarcik\PisaJo00,1980,1984,29,QB,1
Dave Smukler\SmukDa20,1936,1939,36,FB,0
Jeff Garcia\GarcJe00,2006,2009,9,QB,1
Doug Pederson\PedeDo00,1999,1999,16,QB,1
Mike McMahon\McMaMi00,2005,2005,9,QB,1
Bill Mackrides\MackBi20,1947,1951,39,QB,0
Jalen Hurts\HurtJa00,2020,2020,15,QB,1
Rick Arrington\ArriRi00,1970,1972,17,QB,1
Vince Young\YounVi00,2011,2011,6,QB,1
Allie Sherman\SherAl20,1943,1947,51,QB,0
Ken O'Brien\OBriKe00,1993,1993,5,QB,1
Emmett Mortell\MortEm20,1937,1939,30,TB,0
Jack Concannon\ConcJa00,1964,1966,18,QB,1
Scott Tinsley\TinsSc20,1987,1987,3,QB,1
Foster Watkins\WatkFo20,1940,1941,20,QB,0
Ed Matesic\MateEd20,1934,1935,22,TB,0
Jeff Kemp\KempJe00,1991,1991,7,QB,1
Matt Cavanaugh\CavaMa00,1986,1989,27,QB,1
Ed Storm\StorEd20,1934,1935,21,FB,0
Red Kirkman\KirkRe20,1933,1935,20,BB,0
Fred Enke\EnkeFr20,1952,1952,9,QB,0
John Walton\WaltJo00,1976,1979,15,QB,1
Matt Barkley\BarkMa00,2013,2014,4,QB,1
Brad Goebel\GoebBr00,1991,1991,5,QB,1
Len Barnum\BarnLe21,1941,1942,21,P,0
George Mira\MiraGe00,1969,1969,7,QB,1
Al Dorow\DoroAl00,1957,1957,6,QB,0
Jim Leonard\LeonJi21,1934,1937,32,BB,0
Nate Sudfeld\SudfNa00,2017,2020,4,QB,1
Dick Riffle\RiffDi20,1938,1940,32,FB,0
Jeff Blake\BlakJe00,2004,2004,3,QB,1
John Kusko\KuskJo20,1936,1938,23,B,0
John Huarte\HuarJo00,1968,1968,2,QB,1
Keith Byars\ByarKe00,1986,1992,105,FB,1
Mike Kafka\KafkMi00,2011,2011,4,QB,1
Bob Gambold\GambBo20,1953,1953,3,QB,0
Billy Ray Barnes\BarnBi00,1957,1961,60,HB,1
Swede Hanson\HansSw20,1933,1937,45,B,0
Pat Ryan\RyanPa00,1991,1991,4,QB,1
Jack Roberts\RobeJa21,1933,1934,10,B,0
Rabbit Keen\KeenRa20,1937,1938,9,QB,0
